Android phone model,Market share,Change in the last 30 days
Samsung Galaxy A12,0.9%,-2.1%
AFTMM,0.8%,-2.7%
Samsung Galaxy A13,0.8%,-2.5%
Samsung Galaxy S24 Ultra,0.7%,2.5%
Samsung Galaxy A15,0.6%,-4.9%
Samsung Galaxy S23 Ultra,0.6%,2.4%
Samsung Galaxy A55 5G,0.5%,2.6%
Samsung Galaxy A54 5G,0.5%,3.7%
SM-A165F,0.5%,-3.0%
BRP-NX1,0.5%,0.0%
25028RN03A,0.5%,4.4%
SM-S938B,0.5%,5.7%
AFTSSS,0.5%,-4.4%
Samsung Galaxy A14,0.5%,-4.8%
Redmi 13C,0.5%,-3.1%
Samsung Galaxy A05,0.4%,-11.0%
Samsung Galaxy A32,0.4%,0.0%
SM-A065F,0.4%,0.0%
AFTSS,0.4%,-2.6%
AFTKM,0.4%,-3.9%
