timestamp,modelName,count
2025-04-28 00:00:00,iPhone 13,128314
2025-04-28 00:00:00,iPhone 11,83299
2025-04-28 00:00:00,iPhone 15,79017
2025-04-28 00:00:00,iPhone 15 Pro Max,78489
2025-04-28 00:00:00,iPhone 14,77325
2025-04-28 00:00:00,iPhone 15 Pro,77207
2025-04-28 00:00:00,iPhone 16 Pro,63643
2025-04-28 00:00:00,iPhone 12,63294
2025-04-28 00:00:00,iPhone 14 Pro,62212
2025-04-28 00:00:00,iPhone 16 Pro Max,57854
2025-05-05 00:00:00,iPhone 13,191670
2025-05-05 00:00:00,iPhone 11,124432
2025-05-05 00:00:00,iPhone 15,117985
2025-05-05 00:00:00,iPhone 15 Pro Max,117137
2025-05-05 00:00:00,iPhone 14,116334
2025-05-05 00:00:00,iPhone 15 Pro,114987
2025-05-05 00:00:00,iPhone 12,95005
2025-05-05 00:00:00,iPhone 16 Pro,94633
2025-05-05 00:00:00,iPhone 14 Pro,91711
2025-05-05 00:00:00,iPhone 16 Pro Max,87236
2025-05-12 00:00:00,iPhone 13,194633
2025-05-12 00:00:00,iPhone 11,123477
2025-05-12 00:00:00,iPhone 15,119592
2025-05-12 00:00:00,iPhone 14,117804
2025-05-12 00:00:00,iPhone 15 Pro Max,116829
2025-05-12 00:00:00,iPhone 15 Pro,114552
2025-05-12 00:00:00,iPhone 16 Pro,96675
2025-05-12 00:00:00,iPhone 12,94297
2025-05-12 00:00:00,iPhone 14 Pro,92359
2025-05-12 00:00:00,iPhone 16 Pro Max,90177
2025-05-19 00:00:00,iPhone 13,194086
2025-05-19 00:00:00,iPhone 15,122411
2025-05-19 00:00:00,iPhone 11,122237
2025-05-19 00:00:00,iPhone 14,117352
2025-05-19 00:00:00,iPhone 15 Pro Max,116211
2025-05-19 00:00:00,iPhone 15 Pro,114751
2025-05-19 00:00:00,iPhone 16 Pro,99235
2025-05-19 00:00:00,iPhone 12,94448
2025-05-19 00:00:00,iPhone 14 Pro,92542
2025-05-19 00:00:00,iPhone 16 Pro Max,90214
2025-05-26 00:00:00,iPhone 13,199669
2025-05-26 00:00:00,iPhone 15,126556
2025-05-26 00:00:00,iPhone 11,123944
2025-05-26 00:00:00,iPhone 14,122664
2025-05-26 00:00:00,iPhone 15 Pro Max,119456
2025-05-26 00:00:00,iPhone 15 Pro,117355
2025-05-26 00:00:00,iPhone 16 Pro,103762
2025-05-26 00:00:00,iPhone 14 Pro,95473
2025-05-26 00:00:00,iPhone 16 Pro Max,95190
2025-05-26 00:00:00,iPhone 12,94280
